pad_width,fQ,EC_MHz,g_MHz,chi_MHz,alpha_MHz
50um,4.994817023674052,248.81966294377298,37.41766730019834,-0.17844686163503196,-283.16731392904495
60um,4.989439871162435,248.25270436531105,41.99155413745296,-0.22316980830462796,-282.4703267497064
70um,4.986516847764584,247.94481069426578,46.48024885051444,-0.2723926835056979,-282.0919116423246
80um,4.983406191402067,247.6173890458994,51.01688384345812,-0.32683504103565886,-281.68956694148056
90um,4.980430490928477,247.30440040955614,55.41374478242683,-0.3841098866721096,-281.3050264915617
100um,4.97746820894213,246.9930443542033,59.852740468607244,-0.44639270721080054,-280.92255834190416
110um,4.974394927229828,246.67025467492965,64.1942204126959,-0.5114557239506453,-280.52611520667676
125um,4.970343697336785,246.24511294834002,70.63622526633567,-0.6160116285774445,-280.0040743149267
135um,4.967196717547751,245.9151491243905,74.84561836042882,-0.6888036247571979,-279.59898968396504
145um,4.964243455512407,245.60572309452013,79.05859092947505,-0.7655962262220861,-279.2191862220163
155um,4.96129964665923,245.29750552555447,83.23234394568406,-0.8453399162614595,-278.8409311832898
165um,4.958420839653548,244.99630411953675,87.3301465646155,-0.9271684741084937,-278.47134938911563
175um,4.955593598204942,244.70070036668798,91.3535335803958,-1.0108673834712338,-278.1086963854528
185um,4.952855066533157,244.4145629864218,95.3398079856746,-1.0971248431709457,-277.7577138493615
195um,4.949996564114201,244.11609110651415,99.26572342559777,-1.1849606673403876,-277.3916612023133
205um,4.947196464725792,243.82391614826602,103.16350292620149,-1.2752316290886063,-277.03339024744974
215um,4.944605504505351,243.55373887302383,106.999858645536,-1.3672659683386075,-276.70214525197093
225um,4.941640730032189,243.2447879173182,110.77575667981135,-1.459881409425813,-276.3234237975212
