pad_gap,fQ,EC_MHz,g_bus_MHz,chi_bus_MHz,alpha_MHz
5um,4.7280331651908645,241.6419517540878,76.01189963287844,-2.237356854096394,-276.09393310512814
8um,4.73890256373694,242.82216266344673,67.56252228339004,-1.8073222510169469,-277.5555640399011
10um,4.7443377651867324,243.41354174307006,63.31708344495006,-1.6051490742706496,-278.2883455275919
12um,4.748559054177275,243.87340175336712,59.85341267402189,-1.446867668193904,-278.858340318241
15um,4.75348549228208,244.41070013620148,55.60839138613717,-1.2616885676713963,-279.52451854590623
18um,4.757565172913203,244.85615374326426,51.926453457165216,-1.1094800860239398,-280.0769840301192
22um,4.761837476224681,245.32313131628706,47.91269673629558,-0.9530093596656908,-280.65630240832263
26um,4.765136737091472,245.6840964105621,44.570266394400434,-0.8303655086709666,-281.1042158610916
30um,4.767756863926521,245.97097281528633,41.70490933442202,-0.7310151727430628,-281.46026335063726
