pad_gap,fQ,EC_MHz,chi_readout_MHz,gbus_readout_MHz,alpha_MHz
2um,4.75552984637022,244.63386245178324,-0.6358121082612668,72.17387836348779,-279.8012730067633
5um,4.769145610703907,246.12310282521247,-0.45109402874635135,60.252173292333836,-281.64909946061397
8um,4.776420313343276,246.92087855424828,-0.3611188659884367,53.652266530589735,-282.6396449241958
10um,4.779793645713848,247.29130884048962,-0.3203443807791727,50.42055114742424,-283.0997445368407
12um,4.782454537641356,247.58372682179998,-0.2879333792049071,47.71820872304131,-283.4630195870127
15um,4.785805957312789,247.952308539829,-0.24881453342498486,44.26056406096144,-283.9210044844032
18um,4.788353129602885,248.23264854244698,-0.21902585724142928,41.456950153716875,-284.2694113737838
22um,4.793364521102288,248.7847224299109,-0.18795587371111835,38.27729461813456,-284.95570029635616
26um,4.795420939203456,249.0114662291394,-0.16338141473549425,35.63893352905531,-285.23763358147147
30um,4.797238611328393,249.21198293571243,-0.14335300947159102,33.3430340571468,-285.486987951067
