pad_width,fQ,EC_MHz,chi_readout_MHz,gbus_readout_MHz,alpha_MHz
50um,4.791483555229942,248.57742668438883,-0.16307147913836711,35.69781339284629,-284.6979821787027
60um,4.788602704460759,248.2601262246532,-0.20401756678833474,40.00478529621874,-284.303563814025
70um,4.785805957312789,247.952308539829,-0.24881453342498486,44.26056406096144,-283.9210044844032
80um,4.782908683912712,247.63365464343144,-0.2983899837437205,48.5624210829751,-283.5250519877217
90um,4.779930237970502,247.30631484595582,-0.35134547636705643,52.799178858049636,-283.1183851655572
100um,4.777198469976394,247.0063011215955,-0.4084221345558376,57.02894331015587,-282.74573651702354
110um,4.774146924584607,246.67141185041928,-0.4679313951074317,61.16504227581671,-282.3298477682422
125um,4.770072492649834,246.22466755176112,-0.5637106080073432,67.31361998655456,-281.77517940951526
135um,4.767298177241518,245.92073775804764,-0.6307370303951855,71.33292536146004,-281.39791129814995
145um,4.7644761433600085,245.61179822025755,-0.7007964835367719,75.32964749517811,-281.0144949151171
155um,4.7617097903058365,245.30916750636098,-0.7732845923592139,79.27338195530308,-280.63897697541796
165um,4.758939464593703,245.0063136878597,-0.8481814136324386,83.17454576510244,-280.26325029150786
175um,4.756233548720897,244.71070546259907,-0.9249427360002469,87.01077197711633,-279.89657832710355
185um,4.753503848197329,244.41270336109267,-1.0048620568394608,90.85412210402764,-279.52700267820444
195um,4.750848501994884,244.12301555135585,-1.0868346560035262,94.6514702989588,-279.1678014313602
205um,4.748131523384415,243.82680494595232,-1.1694375886232176,98.35702684075743,-278.80057659996135
215um,4.7455235479103,243.5426693286455,-1.2531997927262917,101.99217980609886,-278.4483828451092
225um,4.742731113401713,243.23864475059258,-1.3393395915035975,105.63157569876334,-278.0716025492328
